term_code,term_name,acronyms,parent_term_code,domain_code,owner_upn,additional_owners_upn,definition,status,is_cde,industry_origin,resources,bound_assets
GT-ACCOUNT,Account,,,DOM-CUSTOPS,Ci.Zhu@enercare.ca,Rupal.Solanki@enercare.ca,A relationship record uniquely identifying a customer entity within Enercare billing and service systems. Carries an account_number that is the customer-facing identifier on bills and portals.,Published,1,Utility,"https://www.enercare.ca/about/governance/glossary#account","dbo.customers.account_number"
GT-CUST,Customer,,,DOM-CUSTOPS,Ci.Zhu@enercare.ca,Rupal.Solanki@enercare.ca,The contracting party for one or more service accounts. May be a residential individual or a business entity.,Published,0,Generic,"https://www.enercare.ca/about/governance/glossary#customer","dbo.customers.customer_id;BrookfieldEnercare/dim_customer"
GT-PREMISE,Premise,,,DOM-CUSTOPS,Ci.Zhu@enercare.ca,Shruthi.Srinivas@enercare.ca,The physical location where service is delivered. May be different from the billing address. Identified by service_address.,Published,0,Utility,"https://www.oeb.ca/glossary","dbo.service_accounts.service_address"
GT-SVCACCT,Service Account,,GT-ACCOUNT,DOM-CUSTOPS,Ci.Zhu@enercare.ca,Shruthi.Srinivas@enercare.ca,A billing relationship between a customer and a service or product. A customer may have multiple service accounts across utilities and products.,Published,1,Utility,"https://www.enercare.ca/about/governance/glossary#service-account","dbo.service_accounts.service_account_id"
GT-FSA,Forward Sortation Area,FSA,,DOM-CUSTOPS,Ci.Zhu@enercare.ca,Rupal.Solanki@enercare.ca,The first three characters of a Canadian postal code. Identifies a regional postal sortation area and is the minimum location-PII granularity used for marketing analytics.,Published,1,Canadian Regulatory,"https://www.canadapost-postescanada.ca/cpc/en/support/articles/addressing-guidelines/postal-codes.page","dbo.customers.postal_code;dbo.service_accounts.postal_code"
GT-PIPEDA,Personal Information Protection and Electronic Documents Act,PIPEDA,,DOM-CUSTOPS,Victoria.Tan@enercare.ca,Ci.Zhu@enercare.ca,Federal Canadian privacy law that governs how private-sector organizations collect use and disclose personal information. Establishes consent withdrawal as a customer right.,Published,0,Canadian Regulatory,"https://www.priv.gc.ca/en/privacy-topics/privacy-laws-in-canada/the-personal-information-protection-and-electronic-documents-act-pipeda/","dbo.customer_consents"
GT-CASL,Canadian Anti-Spam Legislation,CASL,,DOM-CUSTOPS,Victoria.Tan@enercare.ca,Ci.Zhu@enercare.ca,Federal Canadian law requiring express consent for commercial electronic messages. Withdrawal must be honored within ten business days.,Published,0,Canadian Regulatory,"https://crtc.gc.ca/eng/internet/anti.htm","dbo.customer_consents"
GT-CONSENT,Customer Consent,,,DOM-CUSTOPS,Victoria.Tan@enercare.ca,Ci.Zhu@enercare.ca,A recorded customer authorization to perform a specific data use defined by consent_type. Carries a legal_basis a granted_date and a withdrawn_date.,Published,1,Canadian Regulatory,"https://www.priv.gc.ca/en/privacy-topics/collecting-personal-information/consent/","dbo.customer_consents.consent_type;dbo.customer_consents.consent_status"
GT-COMPLAINT,Customer Complaint,,,DOM-CUSTOPS,Ci.Zhu@enercare.ca,Rupal.Solanki@enercare.ca,A formally logged customer grievance recorded against a service account or billing event. Regulator-reportable complaints carry a regulator_case_ref.,Published,0,Generic,"https://www.enercare.ca/about/governance/glossary#complaint","dbo.customer_complaints"
GT-SVCREQ,Service Request,,,DOM-SVCDEL,Ci.Zhu@enercare.ca,Shruthi.Srinivas@enercare.ca,A work order created in response to a customer-reported issue or scheduled maintenance event.,Published,0,Generic,"https://www.enercare.ca/about/governance/glossary#service-request","dbo.service_requests;BrookfieldEnercare/fct_service_request"
GT-WORKORDER,Work Order,,GT-SVCREQ,DOM-SVCDEL,Ci.Zhu@enercare.ca,Shruthi.Srinivas@enercare.ca,Synonym for Service Request used in technician dispatch context.,Published,0,Generic,,
GT-TECH,Technician,,,DOM-SVCDEL,Ci.Zhu@enercare.ca,Shruthi.Srinivas@enercare.ca,A field employee assigned to fulfill service requests. Identified by employee_id and upn.,Published,0,Generic,"https://www.enercare.ca/about/governance/glossary#technician","dbo.employees.role;dbo.service_requests.technician_id"
GT-SVCZONE,Service Zone,,,DOM-SVCDEL,Ci.Zhu@enercare.ca,Shruthi.Srinivas@enercare.ca,A territorial unit aligned to dispatch boundaries SLA targets and field supervision. Forms a parent-child hierarchy across Province > Region > Zone.,Published,0,Utility,"https://www.enercare.ca/about/governance/glossary#service-zone","dbo.service_zones"
GT-FCR,First Call Resolution,FCR,,DOM-SVCDEL,Ci.Zhu@enercare.ca,Shruthi.Srinivas@enercare.ca,The percentage of customer interactions that are fully resolved during the first contact without follow-up. Calculated monthly on the call-center plane.,Published,1,Service Industry,"https://www.enercare.ca/about/governance/kpi#fcr","BrookfieldEnercare/fct_cc_interactions"
