cde_code,cde_name,domain_code,glossary_term_code,expected_data_type,bound_columns,regulator,regulator_basis,owner_upn,steward_upn,sensitivity_label,status,validation_rule,description
CDE-ACCTNUM,Account Number,DOM-CUSTOPS,GT-ACCOUNT,text,"dbo.customers.account_number;dbo.service_accounts.account_number",Internal,Operational Identifier,Ci.Zhu@enercare.ca,Rupal.Solanki@enercare.ca,Internal,Published,"Format ^[A-Z0-9]{8,20}$",Customer-facing primary identifier used on bills and portals. Must be unique and immutable.
CDE-SIN,Social Insurance Number,DOM-CUSTOPS,GT-SIN,text,"dbo.customers.sin_last_4;dbo.employees.sin_full",PIPEDA,Personal Information,Ci.Zhu@enercare.ca,Ci.Zhu@enercare.ca,Highly Confidential,Published,"Full = ^\d{3}-\d{3}-\d{3}$ with Luhn check; partial = ^\d{4}$",Canadian government identifier. Highly Confidential when stored in full; partial last-4 stored only when business need is documented. See SIN classifier backstop strategy.
CDE-EMAIL,Email Address,DOM-CUSTOPS,GT-PII,text,"dbo.customers.email;dbo.employees.email",CASL,Commercial Electronic Message Identifier,Ci.Zhu@enercare.ca,Rupal.Solanki@enercare.ca,Confidential,Published,"Format ^[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,}$",Email is a CASL-relevant identifier. Marketing use requires an active Granted consent record.
CDE-PHONE,Phone Number,DOM-CUSTOPS,GT-PII,text,"dbo.customers.phone;dbo.employees.phone",CASL,DNC-list-eligible identifier,Ci.Zhu@enercare.ca,Rupal.Solanki@enercare.ca,Confidential,Published,"E.164 or NANP format",Phone is a CASL-relevant identifier and subject to Do Not Call list management.
CDE-POSTAL,Postal Code,DOM-CUSTOPS,GT-FSA,text,"dbo.customers.postal_code;dbo.service_accounts.postal_code;dbo.employees.home_postal_code",PIPEDA,Geographic PII,Ci.Zhu@enercare.ca,Rupal.Solanki@enercare.ca,Confidential,Published,"Canadian format ^[A-Z]\d[A-Z] ?\d[A-Z]\d$",Canadian six-character postal code. Marketing analytics must use FSA-only (first three characters).
CDE-SVCADDR,Service Address,DOM-CUSTOPS,GT-PREMISE,text,"dbo.service_accounts.service_address",PIPEDA,Geographic PII,Ci.Zhu@enercare.ca,Rupal.Solanki@enercare.ca,Confidential,Published,"Non-null free-text street address",Residential service address. Combined with name produces re-identifiable PII.
CDE-GEO,Geographic Coordinates,DOM-CUSTOPS,GT-GEOPII,number,"dbo.service_accounts.latitude;dbo.service_accounts.longitude",PIPEDA,Precise location PII,Ci.Zhu@enercare.ca,Rupal.Solanki@enercare.ca,Confidential,Published,"-90 to 90 lat; -180 to 180 long",Sub-FSA-precision coordinates. Higher sensitivity than postal code.
CDE-PAN,Payment Account Number Partial,DOM-REVCON,GT-PCISCOPE,text,"dbo.billing_transactions.card_pan_last_4",PCI DSS,PCI-scope token,Ci.Zhu@enercare.ca,Ci.Zhu@enercare.ca,Highly Confidential,Published,"Format ^\d{4}$",Last four digits of card PAN. Demo storage only; production stores tokenized references.
CDE-BANKROUTE,Bank Routing Partial,DOM-REVCON,,text,"dbo.billing_transactions.bank_routing_last_4",,Financial Identifier,Ci.Zhu@enercare.ca,Ci.Zhu@enercare.ca,Highly Confidential,Published,"Format ^\d{4}$",Last four digits of bank routing. Used for pre-authorized debit reconciliation only.
CDE-CONTRACTAMT,Contract Monthly Amount,DOM-REVCON,GT-CONTRACT,number,"dbo.contracts.monthly_amount",OEB,Material Financial Element,Ci.Zhu@enercare.ca,Ci.Zhu@enercare.ca,Confidential,Published,"Positive decimal up to 9999.99",Monthly recurring amount per contract. Aggregated to MRR for management reporting.
CDE-CONSENTSTATE,Consent State,DOM-CUSTOPS,GT-CONSENT,text,"dbo.customer_consents.consent_status;dbo.customer_consents.consent_type",PIPEDA,Consent Record,Ci.Zhu@enercare.ca,Ci.Zhu@enercare.ca,Confidential,Published,"In set Granted Withdrawn Expired",Current consent state per type. Drives marketing eligibility and DSAR compliance.
CDE-COMPLAINTREF,Regulator Case Reference,DOM-CUSTOPS,GT-COMPLAINT,text,"dbo.customer_complaints.regulator_case_ref",OEB/OCPA,Regulator Linkage,Ci.Zhu@enercare.ca,Rupal.Solanki@enercare.ca,Internal,Published,"Format ^[A-Z]{3,5}-\d{4}-\d{4}$",External regulator-assigned case identifier. Required for reportable complaints.
